,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
279,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,65,Once a year,Female
280,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,64,Never,Male
281,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,20,Once a week,Male
282,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,29,Once a month,Female
283,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,45,Once a month,Female
284,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,31,Once a year,Female
285,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,41,Once a week,Female
286,No,No,No,Yes,No,Yes,No,No,Yes,No,No,I hate it!-5,61,Never,Female
287,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,69,Never,Female
288,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+1,28,Once a month,Male
289,No,Yes,No,No,No,Yes,No,No,No,No,No,+3,68,Once a month,Male
290,No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male
291,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,56,Once a year,Female
292,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,61,Once a year,Female
293,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,61,Once a week,Male
294,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,63,Once a year,Male
295,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,40,Once a month,Female
296,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,36,Every three months,Male
297,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,30,Once a month,Female
298,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,32,Once a month,Female
299,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,More than once a week,Male
300,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,+3,61,Once a week,Male
301,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,34,Once a month,Female
302,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,24,Once a month,Male
303,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,39,Once a month,Male
304,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,50,Every three months,Male
305,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,46,Once a month,Male
306,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+2,43,Once a month,Female
307,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,36,Once a month,Male
308,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,I hate it!-5,26,Once a week,Male
309,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,32,Once a month,Female
310,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,50,Never,Female
311,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,56,Once a year,Female
312,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,57,Every three months,Female
313,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,25,Once a year,Male
314,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,47,Once a month,Female
315,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,32,Once a year,Male
316,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,32,Once a week,Female
317,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,57,Every three months,Female
318,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,42,Once a week,Male
319,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,31,Once a week,Male
320,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,37,Once a year,Female
321,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,+3,33,Every three months,Female
322,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,46,Every three months,Female
323,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,41,Every three months,Female
324,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,60,Every three months,Male
325,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,42,Once a month,Male
326,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,45,Once a month,Female
327,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,36,Every three months,Male
328,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+2,44,Once a month,Male
329,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,+1,34,Once a month,Male
330,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,22,Every three months,Male
331,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Every three months,Male
332,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,36,Once a month,Male
333,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Male
334,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,69,Every three months,Female
335,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,64,Never,Female
336,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,53,Every three months,Male
337,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,40,Never,Female
338,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,56,Every three months,Female
339,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+2,48,Once a week,Female
340,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,62,Once a month,Female
341,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,65,Every three months,Female
342,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+4,34,Once a month,Male
343,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,27,Never,Female
344,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,25,Every three months,Male
345,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,55,Once a year,Female
346,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,38,Once a week,Female
347,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,52,Once a month,Female
348,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+3,36,Once a month,Male
349,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,36,Once a month,Male
350,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,52,Once a month,Female
351,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I love it!+5,49,Once a week,Female
352,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,58,Once a month,Female
353,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+3,67,Once a month,Female
354,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,56,Every three months,Female
355,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,43,Once a week,Female
356,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,43,Once a week,Female
357,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,23,Every three months,Female
358,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,29,Once a week,Male
359,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,32,Once a year,Male
360,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,35,Once a week,Female
361,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,+2,46,Once a week,Male
362,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,55,Once a month,Female
363,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,45,Once a week,Female
364,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+2,39,Every three months,Male
365,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,52,Once a year,Male
366,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,53,Once a month,Female
367,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,+3,44,Once a month,Male
368,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,55,Once a year,Female
369,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,21,More than once a week,Female
370,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,48,Once a month,Male
371,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,+3,57,Once a month,Female
372,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,26,Once a week,Male
373,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,52,Once a month,Female
374,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,28,Once a week,Male
375,No,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,58,Once a month,Male
376,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,I love it!+5,34,Once a month,Male
377,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,39,Every three months,Male
378,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,20,Once a month,Male
379,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,61,Once a year,Female
380,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,+4,35,Once a week,Male
381,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,27,Never,Male
382,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,50,Once a month,Female
383,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,58,Once a month,Female
384,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,29,Once a month,Female
385,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,23,Once a week,Male
386,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,47,Every three months,Male
387,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,58,Every three months,Female
388,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,49,Once a month,Female
389,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+1,27,Once a month,Female
390,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,20,More than once a week,Female
391,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,43,Every three months,Male
392,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,62,Every three months,Female
393,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,55,Once a year,Female
394,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,62,Once a year,Female
395,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,56,Once a year,Female
396,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male
397,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,42,Once a month,Female
398,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,26,Once a week,Female
399,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,55,Once a year,Female
400,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,42,Once a week,Male
401,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,67,Once a year,Female
402,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,43,Once a week,Male
403,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,42,Once a month,Female
404,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female
405,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,20,Once a year,Female
406,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,50,Never,Male
407,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,60,Once a year,Male
408,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,21,Never,Male
409,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,33,Once a month,Male
410,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,68,Every three months,Female
411,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,26,Once a month,Male
412,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,60,Once a month,Female
413,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,52,Every three months,Female
414,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+4,70,Every three months,Female
415,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,44,Once a year,Female
416,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,23,Every three months,Female
417,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,62,Every three months,Female
418,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+2,59,Once a week,Female
419,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,66,Once a week,Female
420,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,+1,44,Once a month,Male
421,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Male
422,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+3,41,Once a month,Male
423,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,41,More than once a week,Male
424,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,33,Once a week,Male
425,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,45,Once a month,Female
426,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,23,More than once a week,Female
427,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,52,Once a year,Female
428,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,63,Once a month,Female
429,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+4,48,Once a month,Female
430,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,52,Never,Male
431,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,50,Never,Male
432,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,+2,28,Once a month,Male
433,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,24,Once a month,Male
434,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,45,Once a week,Female
435,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,+2,26,Every three months,Female
436,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,+1,19,Every three months,Male
437,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,45,Every three months,Male
438,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+1,44,Every three months,Male
439,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,47,Once a month,Male
440,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,28,Once a month,Male
441,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,62,Every three months,Female
442,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,33,Once a week,Male
443,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,+3,67,Every three months,Female
444,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,67,Once a year,Female
445,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+2,49,Once a month,Male
446,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,33,Once a week,Female
447,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,51,More than once a week,Female
448,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,52,Once a week,Female
449,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I love it!+5,30,More than once a week,Male
450,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,60,Once a month,Female
451,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,47,Every three months,Female
452,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+2,44,Once a month,Male
453,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,43,Every three months,Female
454,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,46,Once a month,Male
455,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,40,Once a month,Female
456,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,48,Once a year,Female
457,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,53,Once a month,Female
458,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,35,Every three months,Male
459,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,51,Every three months,Male
460,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,+2,26,Once a month,Male
461,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,46,Every three months,Female
462,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,39,Once a month,Female
463,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,38,Once a year,Male
464,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,40,Once a month,Female
465,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,36,Once a month,Female
466,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,56,Never,Female
467,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Female
468,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,39,Once a month,Female
469,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,22,Every three months,Female
470,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Male
471,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female
472,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,21,Every three months,Female
473,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,33,Every three months,Male
474,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,24,Never,Female
475,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,22,More than once a week,Female
476,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Every three months,Female
477,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,56,Every three months,Female
478,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,20,Once a month,Male
479,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,+4,41,Once a month,Female
480,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,+4,70,Once a month,Male
481,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,54,Once a month,Female
482,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+3,23,Once a month,Male
483,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,61,Once a month,Female
484,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+1,52,Once a week,Female
485,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,61,Once a week,Female
486,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,66,Every three months,Female
487,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,40,Once a month,Female
488,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,26,Never,Male
489,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,+2,32,Once a month,Male
490,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,60,Every three months,Male
491,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,38,Once a month,Male
492,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,29,Every three months,Male
493,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,69,Never,Male
494,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,64,Once a year,Male
495,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,40,Never,Male
496,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,42,Once a month,Male
497,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,64,Once a month,Female
498,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,22,Once a week,Male
499,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,57,Every three months,Female
500,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,28,Every three months,Female
501,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,41,Once a month,Female
502,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,56,More than once a week,Male
503,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,50,Once a month,Female
504,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,68,Never,Male
505,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,I hate it!-5,62,Once a year,Male
506,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,58,Every three months,Female
507,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,47,More than once a week,Male
508,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+3,35,Once a month,Female
509,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,58,Once a month,Male
510,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,21,Once a week,Female
511,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,53,Every three months,Female
512,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,38,Once a month,Female
513,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,59,Once a month,Male
514,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,39,Once a week,Female
515,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,36,Every three months,Female
516,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,More than once a week,Female
517,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,53,Once a week,Male
518,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,64,Once a month,Female
519,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,56,Every three months,Female
520,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,65,Never,Male
521,No,No,No,No,Yes,No,No,No,No,No,Yes,I hate it!-5,40,Never,Male
522,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,68,Once a month,Male
523,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,65,More than once a week,Male
524,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,52,Once a month,Female
525,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,37,Once a year,Female
526,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,32,Once a year,Male
527,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,51,Once a week,Female
528,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,52,Every three months,Female
529,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,+4,57,Every three months,Female
530,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,55,Every three months,Female
531,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,38,Once a month,Female
532,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,44,Once a week,Female
533,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,56,Once a year,Female
534,No,Yes,No,Yes,Yes,No,No,No,No,No,No,+1,67,Once a year,Female
535,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,+3,43,Once a month,Female
536,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,39,Every three months,Male
537,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,27,Once a week,Female
538,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+1,29,Once a year,Female
539,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,24,Once a year,Male
540,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,37,Every three months,Male
541,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,22,Once a month,Female
542,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,55,Never,Female
543,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,50,Once a year,Male
544,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,+1,26,Once a month,Male
545,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,55,Every three months,Female
546,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,48,Once a month,Female
547,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,25,Once a week,Female
548,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,32,More than once a week,Male
549,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,28,Every three months,Female
550,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,52,Once a year,Female
551,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,30,Once a week,Male
552,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,52,Once a year,Female
553,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,55,Once a month,Female
554,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,35,Once a year,Female
555,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,29,Once a week,Male
556,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,55,Once a year,Male
557,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,50,Every three months,Female
558,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,34,Once a week,Male
